,ID_2020,ëIéËñº_2020,îN_2020,É`Å[ÉÄ_2020,ééçá_2020,ë≈ê»_2020,ë≈êî_2020,ìæì__2020,à¿ë≈_2020,ìÒó€ë≈_2020,éOó€ë≈_2020,ñ{ó€ë≈_2020,ó€ë≈_2020,ë≈ì__2020,ìêó€_2020,ìêó€éh_2020,ã]ë≈_2020,ã]îÚ_2020,élãÖ_2020,éÄãÖ_2020,éOêU_2020,ïπéEë≈_2020,ë≈ó¶_2020,í∑ë≈ó¶_2020,èoó€ó¶_2020,íPë≈_2020,wOBAï™éq_2020,wOBAï™ïÍ_2020,wOBA_2020,ÉäÅ[ÉO_2020,ÉäÅ[ÉOwOBA_2020,ë≈åÇìæì__2020,ÉäÅ[ÉOééçá_2020,ÉäÅ[ÉOë≈ê»_2020,ÉäÅ[ÉOìæì__2020,wRC_2020,ID_2019,ëIéËñº_2019,îN_2019,É`Å[ÉÄ_2019,ééçá_2019,ë≈ê»_2019,ë≈êî_2019,ìæì__2019,à¿ë≈_2019,ìÒó€ë≈_2019,éOó€ë≈_2019,ñ{ó€ë≈_2019,ó€ë≈_2019,ë≈ì__2019,ìêó€_2019,ìêó€éh_2019,ã]ë≈_2019,ã]îÚ_2019,élãÖ_2019,éÄãÖ_2019,éOêU_2019,ïπéEë≈_2019,ë≈ó¶_2019,í∑ë≈ó¶_2019,èoó€ó¶_2019,íPë≈_2019,wOBAï™éq_2019,wOBAï™ïÍ_2019,wOBA_2019,ÉäÅ[ÉO_2019,ÉäÅ[ÉOwOBA_2019,ë≈åÇìæì__2019,ÉäÅ[ÉOééçá_2019,ÉäÅ[ÉOë≈ê»_2019,ÉäÅ[ÉOìæì__2019,wRC_2019,ë≈ê»î‰ó¶,p_ë≈ê»_2019,p_ë≈êî_2019,p_ìæì__2019,p_à¿ë≈_2019,p_ìÒó€ë≈_2019,p_éOó€ë≈_2019,p_ñ{ó€ë≈_2019,p_ó€ë≈_2019,p_ë≈ì__2019,p_ìêó€_2019,p_ìêó€éh_2019,p_ã]ë≈_2019,p_ã]îÚ_2019,p_élãÖ_2019,p_éÄãÖ_2019,p_éOêU_2019,p_ïπéEë≈_2019,p_íPë≈_2019,p_wOBAï™éq_2019,p_wOBAï™ïÍ_2019,p_wOBA_2019,p_ë≈åÇìæì__2019,p_wRC_2019,êLÇ—
7,31135119,ê¬ñÿÅ@êÈêe,2020,ìåãûÉÑÉNÉãÉg,107,425,357,64,113,30,1,18,199,51,2,1,0,1,62,5,51,6,0.317,0.557,0.424,64,181.1,425,0.4261176470588235,ÉZ,0.3185745868775059,44.18227389115798,720,27093,2962,90.64630519075567,31135119.0,ê¬ñÿÅ@êÈêe,2019.0,ìåãûÉÑÉNÉãÉg,134.0,565.0,489.0,84.0,145.0,19.0,2.0,16.0,216.0,58.0,1.0,2.0,1.0,3.0,61.0,11.0,72.0,13.0,0.297,0.442,0.385,108.0,207.49999999999997,564.0,0.36790780141843965,ÉZ,0.31900344388942325,26.08232401547541,858.0,32803.0,3607.0,88.20941604974057,0.7522123893805309,424.99999999999994,367.8318584070796,63.185840707964594,109.07079646017698,14.292035398230087,1.5044247787610618,12.035398230088495,162.47787610619469,43.62831858407079,0.7522123893805309,1.5044247787610618,0.7522123893805309,2.2566371681415927,45.884955752212385,8.274336283185841,54.159292035398224,9.778761061946902,81.23893805309734,156.08407079646017,424.2477876106194,0.36790780141843976,19.619447268278005,66.35221561263674,24.29408957811893
69,21925136,é¸ìåÅ@óCãû,2020,ïüâ™É\ÉtÉgÉoÉìÉN,103,346,307,48,83,8,7,1,108,27,50,6,11,2,24,2,79,2,0.27,0.35200000000000004,0.325,67,102.10000000000001,335,0.3047761194029851,Ép,0.31533049922877243,-3.2894483790370517,720,27080,2963,34.5686756977724,21925136.0,é¸ìåÅ@óCãû,2019.0,ïüâ™É\ÉtÉgÉoÉìÉN,102.0,114.0,102.0,39.0,20.0,3.0,2.0,1.0,30.0,6.0,25.0,5.0,10.0,0.0,2.0,0.0,27.0,1.0,0.196,0.294,0.212,14.0,23.099999999999998,104.0,0.2221153846153846,Ép,0.31988897159161395,-9.451446741035504,858.0,32792.0,3698.0,3.4044937322506623,3.0350877192982457,346.0,309.57894736842104,118.36842105263159,60.70175438596492,9.105263157894736,6.0701754385964914,3.0350877192982457,91.05263157894737,18.210526315789473,75.87719298245614,15.17543859649123,30.35087719298246,0.0,6.0701754385964914,0.0,81.94736842105263,3.0350877192982457,42.49122807017544,70.11052631578949,315.64912280701753,0.22211538461538466,-28.685969933318265,10.332937117181853,24.235738580590546
104,1805136,ã{ñ{Å@è‰,2020,ìåãûÉÑÉNÉãÉg,94,171,146,16,40,8,0,2,54,12,3,1,5,0,18,2,23,3,0.27399999999999997,0.37,0.361,30,55.4,166,0.3337349397590361,ÉZ,0.3185745868775059,2.413022833643561,720,27093,2962,21.107962485952278,1805136.0,ã{ñ{Å@è‰,2019.0,ìåãûÉÑÉNÉãÉg,26.0,47.0,42.0,5.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,19.0,2.0,0.14300000000000002,0.14300000000000002,0.217,6.0,8.2,46.0,0.1782608695652174,ÉZ,0.31900344388942325,-5.981559408778749,858.0,32803.0,3607.0,-0.8134650271673118,3.6382978723404253,171.0,152.80851063829786,18.191489361702125,21.829787234042552,0.0,0.0,0.0,21.829787234042552,0.0,7.276595744680851,3.6382978723404253,3.6382978723404253,0.0,14.553191489361701,0.0,69.12765957446808,7.276595744680851,21.829787234042552,29.834042553191487,167.36170212765956,0.1782608695652174,-21.762694870237578,-2.959628077566176,24.067590563518454
0,31835133,ñˆìcÅ@óIäÚ,2020,ïüâ™É\ÉtÉgÉoÉìÉN,119,515,427,90,146,23,5,29,266,86,7,2,0,3,84,1,103,2,0.342,0.623,0.449,89,235.5,515,0.45728155339805826,Ép,0.31533049922877243,71.33040472006613,720,27080,2963,127.67992466098192,31835133.0,ñˆìcÅ@óIäÚ,2019.0,ïüâ™É\ÉtÉgÉoÉìÉN,38.0,157.0,128.0,17.0,37.0,6.0,1.0,7.0,66.0,23.0,4.0,1.0,0.0,0.0,28.0,1.0,28.0,4.0,0.289,0.516,0.42,23.0,64.4,157.0,0.4101910828025478,Ép,0.31988897159161395,13.996827237694747,858.0,32792.0,3698.0,31.701938240378325,3.2802547770700636,515.0,419.87261146496814,55.76433121019108,121.36942675159236,19.681528662420384,3.2802547770700636,22.961783439490446,216.4968152866242,75.44585987261146,13.121019108280255,3.2802547770700636,0.0,0.0,91.84713375796179,3.2802547770700636,91.84713375796179,13.121019108280255,75.44585987261145,211.2484076433121,515.0,0.4101910828025478,45.91315941027257,103.99043435538113,23.6894903056008
99,11615139,ózêÏÅ@èÆè´,2020,ç„Å@ê_,71,182,158,19,39,6,0,8,69,24,2,2,2,1,15,6,42,4,0.247,0.43700000000000006,0.33299999999999996,25,61.0,180,0.3388888888888889,ÉZ,0.3185745868775059,3.4534313419351124,720,27093,2962,23.350969451409885,11615139.0,ózêÏÅ@èÆè´,2019.0,ç„Å@ê_,28.0,60.0,55.0,3.0,6.0,1.0,0.0,3.0,16.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,19.0,2.0,0.109,0.29100000000000004,0.16899999999999998,2.0,11.899999999999999,59.0,0.20169491525423727,ÉZ,0.31900344388942325,-6.256454860543252,858.0,32803.0,3607.0,0.34111243513092404,3.033333333333333,182.0,166.83333333333331,9.1,18.2,3.033333333333333,0.0,9.1,48.53333333333333,12.133333333333333,0.0,0.0,3.033333333333333,0.0,12.133333333333333,0.0,57.63333333333333,6.066666666666666,6.066666666666666,36.096666666666664,178.96666666666664,0.2016949152542373,-18.977913076981196,1.0347077198971384,22.316261731512746
177,91495138,‡_ìcÅ@ëæãM,2020,ìåãûÉÑÉNÉãÉg,33,105,100,7,20,4,0,3,33,7,0,0,0,0,5,0,30,1,0.2,0.33,0.23800000000000002,13,26.400000000000002,105,0.25142857142857145,ÉZ,0.3185745868775059,-6.155051416152325,720,27093,2962,5.324297493160044,91495138.0,‡_ìcÅ@ëæãM,2019.0,ìåãûÉÑÉNÉãÉg,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,ÉZ,0.31900344388942325,-1.3291810162059303,858.0,32803.0,3607.0,-0.7793837415664157,21.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,105.0,0.0,-27.91280134032454,-16.36705857289473,21.691356066054773
5,41745135,ãﬂì°Å@åíâÓ,2020,ñkäCìπì˙ñ{ÉnÉÄ,108,467,371,56,126,31,1,5,174,60,4,0,0,5,89,2,72,6,0.34,0.469,0.465,89,195.70000000000002,467,0.41905781584582447,Ép,0.31533049922877243,48.66539937950025,720,27080,2963,99.76292522883556,41745135.0,ãﬂì°Å@åíâÓ,2019.0,ñkäCìπì˙ñ{ÉnÉÄ,138.0,600.0,490.0,74.0,148.0,32.0,5.0,2.0,196.0,59.0,1.0,4.0,0.0,5.0,103.0,2.0,81.0,11.0,0.302,0.4,0.42200000000000004,109.0,225.20000000000002,600.0,0.37533333333333335,Ép,0.31988897159161395,32.80458069718399,858.0,32792.0,3698.0,100.46742529342697,0.7783333333333333,467.0,381.3833333333333,57.596666666666664,115.19333333333333,24.906666666666666,3.8916666666666666,1.5566666666666666,152.55333333333334,45.92166666666667,0.7783333333333333,3.1133333333333333,0.0,3.8916666666666666,80.16833333333334,1.5566666666666666,63.045,8.561666666666667,84.83833333333332,175.28066666666666,467.0,0.3753333333333333,25.532898642641502,78.19714602005062,21.56577920878493
2,51155118,êÛë∫Å@âhìl,2020,ìåñkäyìV,120,529,432,72,121,25,0,32,242,104,1,1,0,2,91,4,111,15,0.28,0.56,0.408,64,220.6,529,0.41701323251417766,Ép,0.31533049922877243,53.04449253055306,720,27080,2963,110.92584408151318,51155118.0,êÛë∫Å@âhìl,2019.0,ìåñkäyìV,143.0,635.0,529.0,93.0,139.0,26.0,2.0,33.0,268.0,92.0,1.0,1.0,0.0,9.0,93.0,4.0,162.0,12.0,0.263,0.507,0.37200000000000005,78.0,241.1,635.0,0.37968503937007875,Ép,0.31988897159161395,36.924071853202015,858.0,32792.0,3698.0,108.53391571755918,0.8330708661417323,529.0,440.6944881889764,77.4755905511811,115.7968503937008,21.65984251968504,1.6661417322834646,27.491338582677166,223.26299212598425,76.64251968503937,0.8330708661417323,0.8330708661417323,0.0,7.49763779527559,77.4755905511811,3.3322834645669293,134.95748031496063,9.996850393700788,64.97952755905513,200.85338582677167,529.0,0.37968503937007875,30.76036852022656,90.41644317258078,20.509400908932392
86,71975136,âñå©Å@ë◊ó≤,2020,ìåãûÉÑÉNÉãÉg,43,179,154,20,43,4,2,8,75,21,13,2,3,0,17,5,44,4,0.27899999999999997,0.48700000000000004,0.369,29,65.9,176,0.3744318181818182,ÉZ,0.3185745868775059,9.356086243472312,720,27093,2962,28.92564295553816,71975136.0,âñå©Å@ë◊ó≤,2019.0,ìåãûÉÑÉNÉãÉg,45.0,98.0,88.0,20.0,16.0,2.0,2.0,1.0,25.0,7.0,4.0,1.0,0.0,0.0,8.0,2.0,24.0,1.0,0.182,0.284,0.265,11.0,24.7,98.0,0.2520408163265306,ÉZ,0.31900344388942325,-6.026636480660341,858.0,32803.0,3607.0,4.749390102274147,1.8265306122448979,179.0,160.73469387755102,36.53061224489796,29.224489795918366,3.6530612244897958,3.6530612244897958,1.8265306122448979,45.66326530612245,12.785714285714285,7.3061224489795915,1.8265306122448979,0.0,0.0,14.612244897959183,3.6530612244897958,43.836734693877546,1.8265306122448979,20.091836734693874,45.11530612244898,179.0,0.2520408163265306,-11.007836020797969,8.674906411296655,20.250736544241505
84,53755136,ÉÇÉÑ,2020,ÉIÉäÉbÉNÉX,46,176,164,20,45,8,2,12,93,38,0,0,0,0,11,1,33,7,0.27399999999999997,0.5670000000000001,0.324,23,66.7,176,0.3789772727272727,Ép,0.31533049922877243,9.97132784809838,720,27080,2963,29.22863951722689,53755136.0,ÉÇÉÑ,2019.0,íÜÅ@ì˙,7.0,22.0,22.0,1.0,5.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.22699999999999998,0.364,0.22699999999999998,4.0,5.6,22.0,0.2545454545454545,ÉZ,0.31900344388942325,-1.181729804639427,858.0,32803.0,3607.0,1.2373782037744379,8.0,176.0,176.0,8.0,40.0,0.0,0.0,8.0,64.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,32.0,44.8,176.0,0.2545454545454545,-9.453838437115415,9.899025630195503,19.329613887031385
136,31635138,ì°å¥Å@ã±ëÂ,2020,êÁótÉçÉbÉe,26,105,96,10,25,5,0,3,39,10,4,1,2,1,6,0,33,1,0.26,0.406,0.301,17,32.0,103,0.3106796116504854,Ép,0.31533049922877243,-0.43408284064012204,720,27080,2963,11.054654234692226,31635138.0,ì°å¥Å@ã±ëÂ,2019.0,êÁótÉçÉbÉe,6.0,19.0,19.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.105,0.105,0.105,2.0,1.8,19.0,0.09473684210526316,Ép,0.31988897159161395,-3.5649087168672207,858.0,32792.0,3698.0,-1.4222519713195263,5.526315789473684,105.0,105.0,0.0,11.052631578947368,0.0,0.0,0.0,11.052631578947368,11.052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,33.1578947368421,0.0,11.052631578947368,9.947368421052632,105.0,0.09473684210526316,-19.700811330055693,-7.859813525713172,18.914467760405397
27,51755115,åIéRÅ@çI,2020,çÈã êºïê,111,428,372,37,101,22,0,12,159,67,0,0,0,2,53,1,77,10,0.272,0.42700000000000005,0.36200000000000004,67,150.7,428,0.3521028037383177,Ép,0.31533049922877243,14.831496152183261,720,27080,2963,61.66177680210941,51755115.0,åIéRÅ@çI,2019.0,çÈã êºïê,123.0,466.0,409.0,35.0,103.0,21.0,0.0,7.0,145.0,54.0,0.0,0.0,3.0,3.0,48.0,3.0,100.0,13.0,0.252,0.355,0.33299999999999996,75.0,144.5,463.0,0.3120950323974082,Ép,0.31988897159161395,-3.3773736508224848,858.0,32792.0,3698.0,49.17410231892623,0.9184549356223176,428.0,375.6480686695279,32.14592274678112,94.60085836909872,19.28755364806867,0.0,6.429184549356223,133.17596566523605,49.59656652360515,0.0,0.0,2.755364806866953,2.755364806866953,44.08583690987125,2.755364806866953,91.84549356223177,11.93991416309013,68.88412017167383,132.7167381974249,425.2446351931331,0.31209503239740816,-3.1019654990386996,45.16419697961463,16.497579822494778
